customerID,Churn_Probabilité,Risque_Churn,Recommandation_Marketing
1024-GUALD,0.7023018144730653,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
6910-HADCM,0.8794528312860422,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
6328-ZPBGN,0.761869735266612,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
1853-UDXBW,0.8036831954414096,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
1640-PLFMP,0.8119999514801866,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
4415-IJZTP,0.8545072107436036,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
5348-CAGXB,0.7186077312046918,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
9061-TIHDA,0.7951594278288018,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
6140-QNRQQ,0.7847523521515728,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
2725-KXXWT,0.8493398901575583,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
1304-NECVQ,0.8480232242346692,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
4806-KEXQR,0.7183709662085824,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
4273-MBHYA,0.8412172705353148,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
1618-CFHME,0.7842279633967445,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
9907-SWKKF,0.700522448051286,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
5277-ZLOOR,0.811509483081026,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
2462-XIIJB,0.8137449791117736,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
3746-EUBYR,0.83746405741945,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
7294-TMAOP,0.8221356897445603,Haut,Offrir une réduction fidélité ou un bonus si engagement renouvelé
8800-JOOCF,0.7057988993101879,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
0841-NULXI,0.7556669038519102,Haut,Envoyer un email de satisfaction + enquête + bonus éventuel
