customerID,Churn_Probabilité,Risque_Churn,Action_Marketing
7590-VHVEG,0.45779350138493075,Faible,Continuer le suivi régulier
5575-GNVDE,0.04834845019340584,Faible,Continuer le suivi régulier
3668-QPYBK,0.2701687572069534,Faible,Continuer le suivi régulier
7795-CFOCW,0.05253420591354136,Faible,Continuer le suivi régulier
9237-HQITU,0.6946210440579655,Faible,Continuer le suivi régulier
9305-CDSKC,0.861039228690116,Haut,Offre de fidélisation personnalisée
1452-KIOVK,0.3977018027942066,Faible,Continuer le suivi régulier
6713-OKOMC,0.09174071024025901,Faible,Continuer le suivi régulier
7892-POOKP,0.5400039936140345,Faible,Continuer le suivi régulier
6388-TABGU,0.033109509262379336,Faible,Continuer le suivi régulier
9763-GRSKD,0.14159409145443563,Faible,Continuer le suivi régulier
7469-LKBCI,0.02418077038709113,Faible,Continuer le suivi régulier
8091-TTVAX,0.255549940967272,Faible,Continuer le suivi régulier
0280-XJGEX,0.4226238976130091,Faible,Continuer le suivi régulier
5129-JLPIS,0.46675959969435576,Faible,Continuer le suivi régulier
3655-SNQYZ,0.09125126950838185,Faible,Continuer le suivi régulier
8191-XWSZG,0.035080770641374555,Faible,Continuer le suivi régulier
9959-WOFKT,0.06734350487047946,Faible,Continuer le suivi régulier
4190-MFLUW,0.16155490053573812,Faible,Continuer le suivi régulier
4183-MYFRB,0.4509023593220509,Faible,Continuer le suivi régulier
8779-QRDMV,0.8883471687582125,Haut,Offre de fidélisation personnalisée
1680-VDCWW,0.0503312405462809,Faible,Continuer le suivi régulier
1066-JKSGK,0.3822922478817597,Faible,Continuer le suivi régulier
3638-WEABW,0.0316154028251866,Faible,Continuer le suivi régulier
6322-HRPFA,0.0830290142265937,Faible,Continuer le suivi régulier
6865-JZNKO,0.12611167038259552,Faible,Continuer le suivi régulier
6467-CHFZW,0.5217745757773713,Faible,Continuer le suivi régulier
8665-UTDHZ,0.6914055169331665,Faible,Continuer le suivi régulier
5248-YGIJN,0.014904902507004934,Faible,Continuer le suivi régulier
8773-HHUOZ,0.25350524917765277,Faible,Continuer le suivi régulier
3841-NFECX,0.018590325555713307,Faible,Continuer le suivi régulier
4929-XIHVW,0.8040394867707817,Haut,Offre de fidélisation personnalisée
6827-IEAUQ,0.03749053619999992,Faible,Continuer le suivi régulier
7310-EGVHZ,0.39269929149424376,Faible,Continuer le suivi régulier
3413-BMNZE,0.6024051097829315,Faible,Continuer le suivi régulier
6234-RAAPL,0.021209921159249877,Faible,Continuer le suivi régulier
